fxCurrency,fxHCurrency,fxRateSOD,fxRateCOD,fxRateSOD_Inv,fxRateCOD_Inv
AED,MUR,10.9090154717482,10.9160980349616,0.0916673005542772,0.0916078251401959
AUD,MUR,29.5224583839461,29.5907631732893,0.0338725178978925,0.0337943294717951
BHD,MUR,106.271900760269,106.338076181755,0.00940982510754018,0.00940396926394251
BWP,MUR,3.62965656236159,3.63220336477189,0.275508159744283,0.275314980900801
CAD,MUR,30.8400169986383,30.9501943080052,0.0324254036579861,0.0323099748598784
CHF,MUR,44.1301966644503,44.3994990273405,0.0226602207917547,0.0225227766507955
CNH,MUR,6.09526759738289,6.10349605145644,0.164061705909248,0.163840525424994
CNY,MUR,6.09267236772554,6.09903931830459,0.164131589497124,0.163960248132649
DKK,MUR,6.41787792870009,6.45873708881738,0.155814742989751,0.154829030234315
EGP,MUR,2.55734540863486,2.55897910243571,0.391030478958184,0.390780838752522
EUR,MUR,47.7568769666122,48.0570692310852,0.0209393926805373,0.0208085931164766
GBP,MUR,53.3675029867556,53.5401457066342,0.0187379949226437,0.0186775733760487
GHS,MUR,6.85218017451908,6.85211033881525,0.145938952936273,0.145940440324681
HKD,MUR,5.16955448353483,5.17224341905529,0.193440267083948,0.193339701746414
INR,MUR,0.541435535757493,0.542364343586141,1.84694194222208,1.84377902387157
JPY,MUR,0.384605876589342,0.385605119857819,2.600064275845,2.59332656259523
KES,MUR,0.364293088406007,0.364421248603033,2.74504247219067,2.74407709164431
KWD,MUR,131.159591543265,131.257635825199,0.0076242994373014,0.00761860438604684
MAD,MUR,4.42397694796523,4.43247743143403,0.22604096082823,0.22560746568234
MGA,MUR,0.0102498419096026,0.0101416922438012,97.5624803601257,98.6028737572096
MUR,MUR,1.0,1.0,1.0,1.0
MWK,MUR,0.0533486797362269,0.0532352612772461,18.744606332234,18.7845419747648
MZN,MUR,0.540658599388449,0.539992175118894,1.84959603182327,1.85187868653805
NAD,MUR,2.62714786077219,2.62472306794154,0.380640928107515,0.380992574879245
NGN,MUR,0.10640461567442,0.104095575312164,9.39808854777344,9.60655625372336
NOK,MUR,4.52070873683286,4.55938113792935,0.221204253185439,0.219328011795511
NZD,MUR,28.11389800601,28.2447557219666,0.0355695962113197,0.0354048025709167
OMR,MUR,104.082691322605,104.407929330227,0.00960774541177549,0.00957781661234895
PKR,MUR,0.251595805492224,0.251759151414801,3.97462906046304,3.97205024874107
QAR,MUR,11.0027823766681,11.0099258170553,0.0908861018755174,0.0908271333173664
RUB,MUR,0.525464336043127,0.527453874687088,1.90307872753124,1.89590037724768
SAR,MUR,10.6835805201282,10.6902316720369,0.0936015784329955,0.0935433422472747
SCR,MUR,1.90027093064937,1.90117915047878,0.52624075013255,0.525989357577463
SEK,MUR,4.69398610878608,4.74562605911225,0.213038551206665,0.210720353340918
SGD,MUR,29.9294762158122,29.9868310145687,0.0334118777351568,0.0333479719652325
THB,MUR,1.322331089922,1.32493869341729,0.756240254518242,0.754751902837706
TND,MUR,0,0.0,0.0,0.0
TZS,MUR,0.0172792551379175,0.01728965644226,57.872865005946,57.8380492023985
UGX,MUR,0.0108364120377303,0.0108318436129192,92.2814670130847,92.320387529164
USD,MUR,40.0540194300971,40.086335726611,0.0249662833899908,0.0249461563865554
XAF,MUR,0.0735815617876969,0.0740304020954023,13.5903611679958,13.507963913411
XOF,MUR,0.072495172658024,0.0733961462019351,13.7940219098067,13.624693553374
ZAR,MUR,2.62730054417314,2.62434901387522,0.380618807474392,0.381046878564129
ZMW,MUR,1.91063669713145,1.91394439147008,0.52338573916295,0.522481219651273
ZWD,MUR,0,0.0,0.0,0.0
